product_id,title,brand,category,color,size,actual_price,current_price,status,imageurl
RR814,PIMA COTTON POLO,rare rabbit,polo,dusky green,xl,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-GREEN01333.jpg?v=1707727344
RR814,PIMA COTTON POLO,rare rabbit,polo,dusky green,2xl,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-GREEN01333.jpg?v=1707727344
RR814,PIMA COTTON POLO,rare rabbit,polo,dusky green,3xl,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-GREEN01333.jpg?v=1707727344
RR815, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,green,xs,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-GREEN17831.jpg?v=1721988488
RR815, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,green,s,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-GREEN17831.jpg?v=1721988488
RR815, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,green,m,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-GREEN17831.jpg?v=1721988488
RR815, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,green,l,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-GREEN17831.jpg?v=1721988488
RR815, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,green,xl,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-GREEN17831.jpg?v=1721988488
RR815, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,green,2xl,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-GREEN17831.jpg?v=1721988488
RR816,EMBROIDERED LOGO TEXTURED COLLAR POLO,rare rabbit,polo,rust,xs,3599.00,3599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/BOOTHRUST-CC03390.jpg?v=1717409442
RR816,EMBROIDERED LOGO TEXTURED COLLAR POLO,rare rabbit,polo,rust,s,3599.00,3599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/BOOTHRUST-CC03390.jpg?v=1717409442
RR816,EMBROIDERED LOGO TEXTURED COLLAR POLO,rare rabbit,polo,rust,m,3599.00,3599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/BOOTHRUST-CC03390.jpg?v=1717409442
RR816,EMBROIDERED LOGO TEXTURED COLLAR POLO,rare rabbit,polo,rust,l,3599.00,3599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/BOOTHRUST-CC03390.jpg?v=1717409442
RR816,EMBROIDERED LOGO TEXTURED COLLAR POLO,rare rabbit,polo,rust,xl,3599.00,3599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/BOOTHRUST-CC03390.jpg?v=1717409442
RR816,EMBROIDERED LOGO TEXTURED COLLAR POLO,rare rabbit,polo,rust,2xl,3599.00,3599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/BOOTHRUST-CC03390.jpg?v=1717409442
RR816,EMBROIDERED LOGO TEXTURED COLLAR POLO,rare rabbit,polo,rust,3xl,3599.00,3599.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/BOOTHRUST-CC03390.jpg?v=1717409442
RR817,CONTRASTING PLACKET KNITTED POLO,rare rabbit,polo,dusky pink,xs,3299.00,3299.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CHARLESDUSKYPINK__CHARLESDUSKYPINK__3.jpg?v=1722426582
