product_id,title,brand,category,color,size,actual_price,current_price,status
MT14,Pack of 3  Grey + Navy + Black 100% Supima Cotton Classic V-Neck,MarchTee,v,core-pack,3XL,"₹6,500","₹5,000",AVAILABLE
MT15,Deep Sage Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,deep-sage,XS,"₹1,390","₹1,200",AVAILABLE
MT15,Deep Sage Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,deep-sage,S,"₹1,390","₹1,200",AVAILABLE
MT15,Deep Sage Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,deep-sage,M,"₹1,390","₹1,200",AVAILABLE
MT15,Deep Sage Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,deep-sage,L,"₹1,390","₹1,200",AVAILABLE
MT15,Deep Sage Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,deep-sage,XL,"₹1,390","₹1,200",AVAILABLE
MT15,Deep Sage Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,deep-sage,2XL,"₹1,390","₹1,200",AVAILABLE
MT15,Deep Sage Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,deep-sage,3XL,"₹1,600","₹1,400",AVAILABLE
MT15,Deep Sage Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,deep-sage,5XL,"₹1,600","₹1,400",AVAILABLE
MT16,Marble Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,marble,XS,"₹1,390","₹1,290",AVAILABLE
MT16,Marble Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,marble,S,"₹1,390","₹1,290",AVAILABLE
MT16,Marble Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,marble,M,"₹1,390","₹1,290",AVAILABLE
MT16,Marble Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,marble,L,"₹1,390","₹1,290",AVAILABLE
MT16,Marble Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,marble,XL,"₹1,390","₹1,290",AVAILABLE
MT16,Marble Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,marble,2XL,"₹1,390","₹1,290",AVAILABLE
MT16,Marble Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,marble,3XL,"₹1,600","₹1,490",AVAILABLE
MT16,Marble Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,marble,5XL,"₹1,600","₹1,490",OUT_OF_STOCK
MT17,Harvest Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,honey,XS,"₹1,390","₹1,290",AVAILABLE
MT17,Harvest Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,honey,S,"₹1,390","₹1,290",AVAILABLE
MT17,Harvest Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,honey,M,"₹1,390","₹1,290",AVAILABLE
MT17,Harvest Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,honey,L,"₹1,390","₹1,290",AVAILABLE
MT17,Harvest Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,honey,XL,"₹1,390","₹1,290",AVAILABLE
MT17,Harvest Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,honey,2XL,"₹1,390","₹1,290",AVAILABLE
MT17,Harvest Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,honey,3XL,"₹1,600","₹1,490",AVAILABLE
MT17,Harvest Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,honey,5XL,"₹1,600","₹1,490",OUT_OF_STOCK
MT18,Coral Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,coral,XS,"₹1,390","₹1,200",AVAILABLE
MT18,Coral Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,coral,S,"₹1,390","₹1,200",AVAILABLE
MT18,Coral Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,coral,M,"₹1,390","₹1,200",AVAILABLE
MT18,Coral Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,coral,L,"₹1,390","₹1,200",AVAILABLE
MT18,Coral Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,coral,XL,"₹1,390","₹1,200",AVAILABLE
MT18,Coral Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,coral,2XL,"₹1,390","₹1,200",AVAILABLE
MT18,Coral Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,coral,3XL,"₹1,600","₹1,400",AVAILABLE
MT18,Coral Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,coral,5XL,"₹1,600","₹1,400",AVAILABLE
MT19,Bloom Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,bloom,XS,"₹1,390","₹1,290",AVAILABLE
MT19,Bloom Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,bloom,S,"₹1,390","₹1,290",AVAILABLE
MT19,Bloom Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,bloom,M,"₹1,390","₹1,290",AVAILABLE
MT19,Bloom Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,bloom,L,"₹1,390","₹1,290",AVAILABLE
MT19,Bloom Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,bloom,XL,"₹1,390","₹1,290",AVAILABLE
MT19,Bloom Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,bloom,2XL,"₹1,390","₹1,290",AVAILABLE
MT19,Bloom Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,bloom,3XL,"₹1,600","₹1,490",AVAILABLE
MT19,Bloom Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,bloom,5XL,"₹1,600","₹1,490",OUT_OF_STOCK
MT20,Classic Black Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,classic-black,XS,"₹1,390","₹1,200",AVAILABLE
MT20,Classic Black Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,classic-black,S,"₹1,390","₹1,200",AVAILABLE
MT20,Classic Black Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,classic-black,M,"₹1,390","₹1,200",AVAILABLE
MT20,Classic Black Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,classic-black,L,"₹1,390","₹1,200",AVAILABLE
MT20,Classic Black Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,classic-black,XL,"₹1,390","₹1,200",AVAILABLE
MT20,Classic Black Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,classic-black,2XL,"₹1,390","₹1,200",OUT_OF_STOCK
MT20,Classic Black Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,classic-black,3XL,"₹1,600","₹1,400",AVAILABLE
MT20,Classic Black Two-twist Cotton 8oz Fabric Reinforced Rib,MarchTee,heavy,classic-black,5XL,"₹1,600","₹1,400",OUT_OF_STOCK
MT21,Midnight Navy 100% Supima Cotton Double Knit Ribbed Collar Classic Cut,MarchTee,polo,midnight-navy,XS,"₹1,800","₹1,800",OUT_OF_STOCK
MT21,Midnight Navy 100% Supima Cotton Double Knit Ribbed Collar Classic Cut,MarchTee,polo,midnight-navy,S,"₹1,800","₹1,800",AVAILABLE
MT21,Midnight Navy 100% Supima Cotton Double Knit Ribbed Collar Classic Cut,MarchTee,polo,midnight-navy,M,"₹1,800","₹1,800",OUT_OF_STOCK
MT21,Midnight Navy 100% Supima Cotton Double Knit Ribbed Collar Classic Cut,MarchTee,polo,midnight-navy,L,"₹1,800","₹1,800",OUT_OF_STOCK
MT21,Midnight Navy 100% Supima Cotton Double Knit Ribbed Collar Classic Cut,MarchTee,polo,midnight-navy,XL,"₹1,800","₹1,800",OUT_OF_STOCK
MT21,Midnight Navy 100% Supima Cotton Double Knit Ribbed Collar Classic Cut,MarchTee,polo,midnight-navy,2XL,"₹1,800","₹1,800",OUT_OF_STOCK
MT21,Midnight Navy 100% Supima Cotton Double Knit Ribbed Collar Classic Cut,MarchTee,polo,midnight-navy,3XL,"₹2,300","₹2,300",AVAILABLE
MT21,Midnight Navy 100% Supima Cotton Double Knit Ribbed Collar Classic Cut,MarchTee,polo,midnight-navy,4XL,"₹2,300","₹2,300",AVAILABLE
